Name of Company,City,Country
Apple Inc,California,United States
Apple Inc,Texas,United States
Apple Inc,Texas,United States
Apple Inc,California,United States
Apple Inc,Ontario,Canada
Apple Inc,Paris,France
Apple Inc,New South Wales,Australia
Apple Inc,Karnataka,India
Apple Inc,,Hong Kong
Apple Inc,Jakarta,Indonesia
Apple Inc,Cork,Ireland
Apple Inc,Tokyo,Japan
Apple Inc,Cotai,Macao
Apple Inc,Federal Territory of Kuala Lumpur,Malaysia
Apple Inc,Mexico City,Mexico
Apple Inc,New South Wales,Australia
Apple Inc,,Singapore
Apple Inc,Seoul,South Korea
Apple Inc,Taipei City,Xinyi District
Apple Inc,Bangkok,Thailand
Wells Fargo and Company,,
Wells Fargo and Company,,
Wells Fargo and Company,,
Visa Inc,,Berkshire New York 13736 United States
Visa Inc,,United Kingdom (3)
Visa Inc,London W2 6TT,United Kingdom
Visa Inc,,Australia (2)
Visa Inc,Sydney,New South Wales Australia
Visa Inc,Maharashtra 400051,India
Visa Inc,,Brazil (1)
Visa Inc,,Brazil (1)
Visa Inc,,Chile (1)
Visa Inc,,China (2)
Fedex Corporation,Tennessee,United States
Fedex Corporation,California,United States
Fedex Corporation,Maryland,United States
Fedex Corporation,Texas,United States
Fedex Corporation,Georgia,United States
Fedex Corporation,Texas,United States
Fedex Corporation,Oregon,United States
Fedex Corporation,Washington,United States
Fedex Corporation,Pennsylvania,United States
Fedex Corporation,MA,United States
Fedex Corporation,Vermont,United States
Fedex Corporation,California,United States
Fedex Corporation,Arizona,United States
Fedex Corporation,Minnesota,United States
Fedex Corporation,Minnesota,United States
Fedex Corporation,North Carolina,United States
Fedex Corporation,North Carolina,United States
Fedex Corporation,Illinois,United States
Fedex Corporation,Illinois,United States
Fedex Corporation,,United States
Fedex Corporation,Tennessee,United States
Fedex Corporation,Colorado,United States
Fedex Corporation,Colorado,United States
Fedex Corporation,California,United States
Fedex Corporation,Louisiana,United States
Fedex Corporation,Pennsylvania,United States
Fedex Corporation,California,United States
Fedex Corporation,Colorado,United States
Fedex Corporation,Maryland,United States
Fedex Corporation,Minnesota,United States
Fedex Corporation,New Jersey,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,Washington,United States
Fedex Corporation,California,United States
Fedex Corporation,North Dakota,United States
Fedex Corporation,Pennsylvania,United States
Fedex Corporation,Texas,United States
Fedex Corporation,Arkansas,United States
Fedex Corporation,California,United States
Fedex Corporation,New Jersey,United States
Fedex Corporation,TX,United States
Fedex Corporation,New York,United States
Fedex Corporation,Indiana,United States
Fedex Corporation,Texas,United States
Fedex Corporation,Michigan,United States
Fedex Corporation,Pennsylvania,United States
Fedex Corporation,Texas,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,Georgia,United States
Fedex Corporation,Tennessee,United States
Fedex Corporation,Tennessee,United States
Fedex Corporation,Pennsylvania,United States
Fedex Corporation,Alabama,United States
Fedex Corporation,New Jersey,United States
Fedex Corporation,New York,United States
Fedex Corporation,West Virginia,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,Pennsylvania,United States
Fedex Corporation,Arizona,United States
Fedex Corporation,Pennsylvania,United States
Fedex Corporation,Texas,United States
Fedex Corporation,Texas,United States
Fedex Corporation,Washington,United States
Fedex Corporation,Oregon,United States
Fedex Corporation,New Jersey,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,Arizona,United States
Fedex Corporation,Utah,United States
Fedex Corporation,Texas,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,Illinois,United States
Fedex Corporation,Nevada,United States
Fedex Corporation,Massachusetts,United States
Fedex Corporation,Missouri,United States
Fedex Corporation,California,United States
Fedex Corporation,California,United States
Fedex Corporation,New Jersey,United States
Fedex Corporation,District of Columbia,United States
Fedex Corporation,South Dakota,United States
Fedex Corporation,Texas,United States
Fedex Corporation,Ontario,Canada
Fedex Corporation,Ontario,Canada
Fedex Corporation,Ontario,Canada
Fedex Corporation,Chelmsford,United Kingdom
Fedex Corporation,Fareham,United Kingdom
Fedex Corporation,Viladecans,Spain
Fedex Corporation,Hoofddorp,Netherlands
